Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.H.CNY.EUR.SP00.A
,EXR.H.CNY.EUR.SP00.A
,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[Chinese yuan renminbi ]
2017H2,7.8117
2017H1,7.4448
2016H2,7.4067
2016H1,7.2965
2015H2,7.0044
2015H1,6.9408
2014H2,7.9317
2014H1,8.4500
2013H2,8.1993
2013H1,8.1285
2012H2,8.0217
2012H1,8.1901
2011H2,8.8206
2011H1,9.1755
2010H2,8.8896
2010H1,9.0567
2009H2,9.9291
2009H1,9.1070
2008H2,9.6661
2008H1,10.7989
2007H2,10.5752
2007H1,10.2567
2006H2,10.1424
2006H1,9.8756
2005H2,9.7678
2005H1,10.6333
2004H2,10.4309
2004H1,10.1572
2003H2,9.5713
2003H1,9.1455
2002H2,8.2061
2002H1,7.4317
2001H2,7.3916
2001H1,7.4350
2000H2,7.3422
