Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.H.USD.EUR.SP00.A
,EXR.H.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2017H2,1.1760
2017H1,1.0830
2016H2,1.0981
2016H1,1.1159
2015H2,1.1035
2015H1,1.1158
2014H2,1.2883
2014H1,1.3703
2013H2,1.3423
2013H1,1.3134
2012H2,1.2733
2012H1,1.2965
2011H2,1.3809
2011H1,1.4032
2010H2,1.3247
2010H1,1.3268
2009H2,1.4539
2009H1,1.3328
2008H2,1.4129
2008H1,1.5304
2007H2,1.4109
2007H1,1.3291
2006H2,1.2814
2006H1,1.2296
2005H2,1.2044
2005H1,1.2847
2004H2,1.2598
2004H1,1.2273
2003H2,1.1564
2003H1,1.1049
2002H2,0.9914
2002H1,0.8979
2001H2,0.8930
2001H1,0.8983
2000H2,0.8871
2000H1,0.9605
1999H2,1.0433
1999H1,1.0888
